CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
02-01-0001-42,02-014,EL PROGRESO,GUASTATOYA,EODP GABRIELA MISTRAL,BARRIO LA DEMOCRACIA,56203495,JAIME RODOLFO CRUZ CASTILLO,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0002-42,02-014,EL PROGRESO,GUASTATOYA,EODP,BARRIO EL GOLFO,79451335,JAIME RODOLFO CRUZ CASTILLO,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0004-43,02-014,EL PROGRESO,GUASTATOYA,EOUM TIPO FEDERACION,BARRIO EL PORVENIR,79451057,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0005-42,02-014,EL PROGRESO,GUASTATOYA,EODP ANEXA A EOUM,COLONIA NUEVA VIDA,56252333,JAIME RODOLFO CRUZ CASTILLO,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0005-43,02-014,EL PROGRESO,GUASTATOYA,EOUM,COLONIA NUEVA VIDA,79451758,JAIME RODOLFO CRUZ CASTILLO,MYNOR FRANCISCO GARCA,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0006-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA EL SUBINAL,57742119,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0007-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA PALO AMONTONADO,,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0008-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA ANSHAGUA,,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0009-42,02-014,EL PROGRESO,GUASTATOYA,EODP SANTA LUCIA,ALDEA SANTA LUCIA,47169748,JAIME RODOLFO CRUZ CASTILLO,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0009-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA SANTA LUCIA,51588372,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0010-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA CHILZAPOTE,,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0011-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA SAN RAFAEL,,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0012-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA TIERRA BLANCA,42406215,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0013-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA PATACHE,32247840,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0014-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA LAS MORALES,58357781,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0015-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA CASAS VIEJAS,79451767,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0016-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA SANTA RITA,,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0017-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA EL NARANJO,,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0018-43,02-014,EL PROGRESO,GUASTATOYA,EORM,BARRIO SAN JUAN ALDEA SANTA RITA,,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0019-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA PIEDRA PARADA,,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
02-01-0020-43,02-014,EL PROGRESO,GUASTATOYA,EORM,ALDEA EL OBRAJE,41136694,JAIME RODOLFO CRUZ CASTILLO,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),EL PROGRESO
