CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-01-0003-45,01-110,GUATEMALA,GUATEMALA,LICEO CIENTIFICO CUMORAH,LOTE 572 MANZANA 5 COLONIA MAYA ZONA 18,22604386,ZUHILEM YESENIA ESTRADA ORTIZ,INGRID ABIGAIL SANABRIA BONILLA,BASICO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0017-45,01-318,GUATEMALA,GUATEMALA,LICEO ROMANO AMERICANO,6A. CALLE 2-12 ZONA 1,22533522,LESLIE AZUCENA MONZON TECUN,LETICIA YANETH BERGANZA BETANCOURTH DE CASTILLO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0020-45,01-627,GUATEMALA,GUATEMALA,LICEO ROMANO AMERICANO,6A. CALLE 2-12 ZONA 1,22533522,ISAURA AMPARO RECINOS CARRILLO,VICTOR AMNUEL PORTILLO LEON,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
01-01-0021-45,01-627,GUATEMALA,GUATEMALA,LICEO ROMANO AMERICANO,6A. CALLE 2-12 ZONA 1,22533522,ISAURA AMPARO RECINOS CARRILLO,VICTOR MANUEL PORTILLO LEON,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,GUATEMALA NORTE
01-01-1247-45,01-105,GUATEMALA,GUATEMALA,IEBC DE ENSEÑANZA,"LOTE 8, MANZANA 53 CANTON CENTRAL CANALITOS, ZONA 17",,SANTOS VICTORINO VASQUEZ PAXTOR,,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2331-45,01-635,GUATEMALA,GUATEMALA,INSTITUTO PRIVADO MIXTO DE EDUCACION BASICA JUAN MARCOS,1A. AVENIDA Y 1A. CALLE ZONA 21 LOMA BLANCA COLONIA GUAJITOS,24494835,JULIO PEREZ GUTIERREZ,,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2603-45,01-106,GUATEMALA,GUATEMALA,COLEGIO MIXTO 'JUVENTUD ACTIVA',KM 15 RUTA AL ATLANTICO COLONIA SAN PASCUAL II LOTE 6 Y 12 ZONA 18,22554550,CESAR ARNOLDO MARTINEZ GARCIA,,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2814-45,01-211,GUATEMALA,GUATEMALA,COLEGIO EVANGELICO MIXTO EBEN-EZER,CALZADA JUSTO RUFINO BARRIOS 4-21 GUAJITOS ZONA12,24795027,CARLOS ALBERTO ALTAN ORELLANA,,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2907-45,01-105,GUATEMALA,GUATEMALA,LICEO LOMAS DEL NORTE,"LOTE 13 MANZANA 57, CANALITOS ZONA 17",54647521,SANTOS VICTORINO VASQUEZ PAXTOR,,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-7602-45,01-106,GUATEMALA,GUATEMALA,INEB DE TELESECUNDARIA,ALDEA LA CEBADILLA ZONA 17,41958053,CESAR ARNOLDO MARTINEZ GARCIA,,BASICO,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-02-0003-45,01-510,GUATEMALA,SANTA CATARINA PINULA,CENTRO EDUCATIVO CRISTIANO KAIROS,"2A. CALLE 2-17, SECTOR II, ZONA 3, ALDEA EL PUEBLITO",23660150,ZOILA ESPERANZA CAMEY ATZ,JOSE ADRIAN MORALES ORTIZ,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0006-45,01-502,GUATEMALA,SANTA CATARINA PINULA,COLEGIO KING DAVID,"KM. 18.5 CARRETERA A EL SALVADOR, ALDEA EL CANCHON LA LABOR DE MONZON, L. 3, Z. 8.",66611170,JULIA ENECON ROCA MORAN,MAINOR SANMY CASTRO CHUN,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0009-45,01-502,GUATEMALA,SANTA CATARINA PINULA,"COLEGIO ""COUNTRY DAY SCHOOL""",KILOMETRO 18.5 CARRETERA EL SALVADOR ZONA 8 ALDEA EL CANCHON,66859300,JULIA ENECON ROCA MORAN,MAVELIN DINORA GARCÍA BARRERA DE MORENO,BASICO,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0018-45,01-502,GUATEMALA,SANTA CATARINA PINULA,"COLEGIO ""EL DERECHO AL APRENDIZAJE""","LOTE 10 MANZANA K, SECTOR 1 COLONIA SANTO DOMINGO, PIEDRA PARADA",,JULIA ENECON ROCA MORAN,ROSAURA DOMINGUEZ BRAN,BASICO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0019-45,01-645,GUATEMALA,SANTA CATARINA PINULA,"INSTITUTO DE EDUCACION BASICA POR COOPERATIVA DE ENSEÑANZA ""AGUSTIN UBIETO""","AVENIDA PRINCIPAL FINAL DE ALDEA EL PUEBLITO, SECTOR II ZONA 1",23677819,ALBA MARICELA JOR PORTILLO,PAULINO SOLORZANO MUÑOZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0020-45,01-644,GUATEMALA,SANTA CATARINA PINULA,INEB,ALDEA PIEDRA PARADA CRISTO REY,59222707,LIGIA DEL ROSARIO RICCI VELASQUEZ,---,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0021-45,01-502,GUATEMALA,SANTA CATARINA PINULA,INEB,ALDEA EL PAJON,30526535,JULIA ENECON ROCA MORAN,---,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
01-02-0028-45,01-644,GUATEMALA,SANTA CATARINA PINULA,INEB DE TELESECUNDARIA,ALDEA SAN JOSE EL MANZANO,55265927,LIGIA DEL ROSARIO RICCI VELASQUEZ,ERICKA NOHEMÍ PÉREZ RAFAÉL CALDERÓN,BASICO,OFICIAL,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA ORIENTE
