CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-01-0001-42,01-110,GUATEMALA,GUATEMALA,LICEO CIENTIFICO CUMORAH,LOTE 572 MANZANA 5 COLONIA MAYA ZONA 18,22603791,ZUHILEM YESENIA ESTRADA ORTIZ,MARIBLE ARGENTINA MAJANO ECHEVERRÍA,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1145-42,01-106,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.613 MARIO MENDEZ MONTENEGRO,ZONA 17 ALDEA SANTA LUCIA LOS OCOTES,56507848,CESAR ARNOLDO MARTINEZ GARCIA,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1146-42,01-104,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.607,KM.10 RUTA AL ATLANTICO ALDEA EL BEBEDERO,22608008,ISRAEL PORTILLO HERNANDEZ,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1160-42,01-208,GUATEMALA,GUATEMALA,EPDP ANEXA A CENTRO EDUCATIVO 'EMILENO',3A AVE. 7-33 COLONIA VASQUEZ ALDEA GUAJITOS,24488335,LILIAN NINETH TEOS REYES,,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1162-42,01-211,GUATEMALA,GUATEMALA,COLEGIO EVANGELICO MIXTO EBEN-EZER,2A. AVENIDA 3-16 ALDEA GUAJITOS,24495027,CARLOS ALBERTO ALTAN ORELLANA,,PARVULOS,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2318-42,01-101,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.106 MARIO MENDEZ MONTENEGRO,ALDEA SANTA ROSITA,,MARIA ESTELA MARROQUIN CHUR DE ORTEGA,,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2596-42,01-208,GUATEMALA,GUATEMALA,EPDP ANEXA A LICEO CRISTIANO 'EMANUEL',LOTE 46 MANZANA 'A' VALLE DEL ATLANTICO KM 10.5,,LILIAN NINETH TEOS REYES,,PARVULOS,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2604-42,01-105,GUATEMALA,GUATEMALA,LICEO LOMAS DEL NORTE,LOTE 13 MANZANA 57 2-17 CANTON EL PORVENIR CANALITOS,54647521,SANTOS VICTORINO VASQUEZ PAXTOR,,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-6386-42,01-106,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.605,ALDEA LAS CANOAS,,CESAR ARNOLDO MARTINEZ GARCIA,,PARVULOS,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-6585-42,01-105,GUATEMALA,GUATEMALA,EODP ANEXA A EORM NO.612,CANTON LOURDES ALDEA CANALITOS,42162504,SANTOS VICTORINO VASQUEZ PAXTOR,,PARVULOS,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
