CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-05-0085-41,01-108,GUATEMALA,PALENCIA,"COLEGIO MIXTO BILINGÜE ""LA MONTAÑITA""",CASERIO JOYA HONDA ALDEA MARILLANOS,45686707,PEDRO ADOLFO LUCERO ROSALES,ALMA DENISSE MONTOYA OROZCO,PREPRIMARIA BILINGUE,PRIVADO,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-07-1406-41,01-114,GUATEMALA,SAN PEDRO AYAMPUC,COPB ANEXO A EORM NO. 887,ALDEA SAN JOSE NACAHUIL,54003329,AGUSTIN HERNANDEZ ASCUC,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-07-9511-41,01-114,GUATEMALA,SAN PEDRO AYAMPUC,COPB ANEXO A EORM NO.891,LOTE 7 MANZANA M SECTOR 2 COLONIA LA LEYENDA,,AGUSTIN HERNANDEZ ASCUC,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-09-0009-41,01-612,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM,"CASERIO EL AGUACATE, ALDEA VISTA HERMOSA",51176609,SILVIA MAGALY GARCIA GARCIA,HUMBERTO SOLANO YUP NIJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-2667-41,01-612,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM VISTA HERMOSA I,"KM. 22, ALDEA VISTA HERMOSA",54699945,SILVIA MAGALY GARCIA GARCIA,MARGARITA CONCEPCION GONZALEZ GUTIERREZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-2668-41,,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A ESCUELA RURAL MIXTA,ALDEA CHILLANI,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-2775-41,,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A ESCUELA RURAL MIXTA,ALDEA CHILLANI,,,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,CERRADA TEMPORALMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-6667-41,01-612,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM BILINGÜE,CANTON LAS LIMAS ALDEA VISTA HERMOSA,32045656,SILVIA MAGALY GARCIA GARCIA,VICTOR HUGO APEN SISIMIT,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-09-9557-41,01-612,GUATEMALA,SAN PEDRO SACATEPEQUEZ,COPB ANEXO A EORM,"CASERIO LOS VASQUEZ, ALDEA BUENA VISTA",44192357,SILVIA MAGALY GARCIA GARCIA,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-0178-41,01-605,GUATEMALA,SAN JUAN SACATEPEQUEZ,"COPB ANEXA A EORM "" DOCTORA ANA MARGARITA RICHARDSSON ESCOBAR""",COLONIA LAS MARGARITAS,79203302,EVERILDA HERNANDEZ MARROQUIN DE LORENZANA,NORMA ELIZABETH MEJIA ALAY DE CHICOHAY,PREPRIMARIA BILINGUE,OFICIAL,RURAL,TEMPORAL NOMBRAMIENTO,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1750-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB,ALDEA PACHALI,66508754,CESAR AUGUSTO LUNA ORTIZ,,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
01-10-1753-41,01-611,GUATEMALA,SAN JUAN SACATEPEQUEZ,COPB,ALDEA CRUZ BLANCA,53451562,CESAR AUGUSTO LUNA ORTIZ,PROFESOR FELIPE CAR SUBUJUJ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA OCCIDENTE
