CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
01-01-0002-43,01-110,GUATEMALA,GUATEMALA,LICEO CIENTIFICO CUMORAH,LOTE 572 MANZANA 5 COLONIA MAYA ZONA 18,22603601,ZUHILEM YESENIA ESTRADA ORTIZ,BERLY MARISOL MORALES OCHOA,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-0893-43,,GUATEMALA,GUATEMALA,EPUM 'JARDIN INFANTIL MONTE ALEGRE',"14 AVE 'B' 9-15 BELLO HORIZONTE, ZONA 21",,,,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1198-43,01-105,GUATEMALA,GUATEMALA,EORM NO.612,CANTON LOURDES ALDEA CANALITOS ZONA 17,52779049,SANTOS VICTORINO VASQUEZ PAXTOR,,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1208-43,01-505,GUATEMALA,GUATEMALA,EORM NO.616 'AMERICANA',ZONA 16 ALDEA CONCEPCION LAS LOMAS,59183717,MARIA TERESA MILIAN AVILES,,PRIMARIA,OFICIAL,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1215-43,01-210,GUATEMALA,GUATEMALA,EOUM NO.456 CANADA,3A. CALLE 2-61 ZONA 12 COLONIA GUAJITOS,24774332,DINIZ ORALIA MORALES MUÑOZ,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1231-43,01-635,GUATEMALA,GUATEMALA,EPRM COLEGIO JUAN MARCOS,"1A.CALLE Y 1A.. AVENIDA ZONA 21 LOMA BLANCA, COLONIA GUAJITOS",24494835,JULIO PEREZ GUTIERREZ,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1233-43,01-208,GUATEMALA,GUATEMALA,EPRM CENTRO EDUCATIVO 'EMILENO',3A AVE. 7-33 COLONIA VASQUEZ ALDEA GUAJITOS,24488335,LILIAN NINETH TEOS REYES,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1235-43,,GUATEMALA,GUATEMALA,EPRM CENTRO EDUCATIVO 'GENESIS',2A CALLE Y 4A AVE. LOTE 8 'A' ALDEA GUAJITOS,,,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-1237-43,01-211,GUATEMALA,GUATEMALA,COLEGIO EVANGELICO MIXTO EBEN-EZER,CALZADA JUSTO RUFINO BARRIOS 4-21 ALDEA GUAJITOS,24795027,CARLOS ALBERTO ALTAN ORELLANA,,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
01-01-2605-43,01-105,GUATEMALA,GUATEMALA,LICEO LOMAS DEL NORTE,"LOTE 13 MANZANA 57 CANTON PORVENIR, CANALITOS ZONA 17",54647521,SANTOS VICTORINO VASQUEZ PAXTOR,,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),GUATEMALA NORTE
