CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
18-01-0001-42,18-004,IZABAL,PUERTO BARRIOS,EODP NATALIA GORRIZ VIUDA DE MORALES,4A AVE. Y 5A CALLE,79482598,MARIA MAGDALENA SUCHITE GARNICA,CLAUDIA BERNARDA ESCOBEDO LEIVA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0002-42,18-002,IZABAL,PUERTO BARRIOS,EODP ANEXA A ESCUELA URBANA MIXTA NO. 3 MARIO MENDEZ MONTENEGRO,19 CALLE Y 14 AVE.,56325260,ALBA MAGDALENA RAMOS PEREZ,ANGELA IRAIDA ESTRADA JUAREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0003-42,18-002,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUM NO. 2 JUDITH ARACELY PAZ MORALES DE DIAZ,14 CALLE ENTRE 11 Y 12 AVENIDAS,79487572,ALBA MAGDALENA RAMOS PEREZ,LIDYA ROSMERY MEJIA BARRERA DE MINER,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0004-42,18-002,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUM PROFESORA ANA SUCELY CALDERON MARIN,COLONIA EL PROGRESO,79486012,ALBA MAGDALENA RAMOS PEREZ,MERCEDES MARILU UCELO SOSA,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0005-42,18-004,IZABAL,PUERTO BARRIOS,EODP ANEXA A ESCUELA URBANA MIXTA NO. 1 DR. MARIANO GALVEZ,14 CALLE ENTRE 11 Y 12 AVENIDA,79481458,MARIA MAGDALENA SUCHITE GARNICA,,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0006-42,18-002,IZABAL,PUERTO BARRIOS,"EODP ANEXA A ESCUELA OFICIAL URBANA MIXTA NO. 4 ""PROFESOR PABLO DE JESUS LINARES FLORES""",19 CALLE Y 14 AVENIDA,42148209,ALBA MAGDALENA RAMOS PEREZ,JUANA EDELWAIZ CERVANTES LOPEZ DE GONZALEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0007-42,18-004,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUM ERNESTO R. LARA,15 CALLE Y 7A AVENIDA,79480566,MARIA MAGDALENA SUCHITE GARNICA,ARIEL MOISES PEÑA CALDERON,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0008-42,18-002,IZABAL,PUERTO BARRIOS,"EODP ANEXA A ESCUELA OFICIAL URBANA PARA NIÑAS NO. 2 ""PROFESORA ALBA MARINA RUIZ FAJARDO""",15 CALLE ENTRE 7A Y 8A AVENIDA,40651474-40651474,ALBA MAGDALENA RAMOS PEREZ,ALBA MARINA RUIZ FAJARDO,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0009-42,18-002,IZABAL,PUERTO BARRIOS,EODP LICDA. LETICIA AGUILAR DE VALDEZ,16 CALLE ENTRE 5A Y 6A AVENIDAS,41411882,ALBA MAGDALENA RAMOS PEREZ,YAJAIRA LICELY NAJARRO LOPEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0010-42,18-037,IZABAL,PUERTO BARRIOS,"COLEGIO PARTICULAR MIXTO ""CRISTO REY""",10 CALLE ENTRE 8A Y 9A AVE,79488225,LUIS FERNANDO MONROY RODRIGUEZ,HILCIA TRINIDAD MORALES LIMA,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0011-42,18-037,IZABAL,PUERTO BARRIOS,ANEXA A COLEGIO 'MAYA',22A. CALLE ENTRE 7A Y 8A AV.,79480009,LUIS FERNANDO MONROY RODRIGUEZ,--,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0012-42,18-037,IZABAL,PUERTO BARRIOS,EPDP ANEXA A COLEGIO 'HEBREO',10A. CALLE 4A. Y 5A. AVENIDAS NO.46,,LUIS FERNANDO MONROY RODRIGUEZ,ANA LUCRECIA GODINEZ MENDEZ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0013-42,18-037,IZABAL,PUERTO BARRIOS,ANEXA A 'LICEO MONTESSORI',12 AV. 10 Y 11 CALLES,79480774,LUIS FERNANDO MONROY RODRIGUEZ,--,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0014-42,18-004,IZABAL,PUERTO BARRIOS,EODP ANEXA A EOUV NO. 1 RAFAEL LANDIVAR,4A. AVENIDA Y 6A. CALLE,56526415,MARIA MAGDALENA SUCHITE GARNICA,GHESY EDELMIRA DUARTE ROJAS DE HERNANDEZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0014-43,18-004,IZABAL,PUERTO BARRIOS,EOUV NO. 1 RAFAEL LANDIVAR,4A. AVENIDA 5A. Y 6A. CALLES,56526415,MARIA MAGDALENA SUCHITE GARNICA,GHESY EDELMIRA DUARTE ROJAS DE HERNANDEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,BILINGUE,VESPERTINA,DIARIO(REGULAR),IZABAL
18-01-0015-43,18-004,IZABAL,PUERTO BARRIOS,EOUM ERNESTO R. LARA,15 CALLE Y 7A. AVENIDA,79480566,MARIA MAGDALENA SUCHITE GARNICA,ARIEL MOISES PEÑA CALDERON,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
18-01-0016-43,18-004,IZABAL,PUERTO BARRIOS,EOUM NO.1 DR. MARIANO GALVEZ,14 CALLE ENTRE 11 Y 12 AVENIDA,79481458,MARIA MAGDALENA SUCHITE GARNICA,,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),IZABAL
