CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
07-01-0001-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,ALDEA PIXABAJ,57829082,CARLOS RIGOBERTO POS TUY,ISABEL TAUTÍU JULAJUJ DE CHUMIL,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0001-45,07-019,SOLOLA,SOLOLA,"LICEO TECNOLOGICO BILINGUE ""CUAUHTEMALLAN DE SOLOLA""","7 CALLE 3-25 ZONA 1, BARRIO SAN ANTONIO",77621955,ESTELA BEN AJCALÓN DE TUY,ANTONIO ESTEBAN PÉREZ DIONISIO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0002-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO EL TRIUNFO, CANTON PUJUJIL II",49506402,CARLOS RIGOBERTO POS TUY,JUAN LUÍS GARCÍA VELÁSQUEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0003-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO EL ENCANTO ALDEA PUJUJIL II,50135253,CARLOS RIGOBERTO POS TUY,JUAN YAXÓN TZORÍN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0004-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA FE, ALDEA PUJUJIL II",47946822,CARLOS RIGOBERTO POS TUY,CARLOS ROBERTO JULAJUJ ANTONIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0005-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA UNION, ALDEA ARGUETA",44490148,VÍCTOR MIGUEL MENCHÚ MENCHÚ,EUSEBIO ANDRÉS PAR LÓPEZ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0006-41,07-004,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO COXOM ALDEA ARGUETA,57722295,VÍCTOR MIGUEL MENCHÚ MENCHÚ,HEIDY MARICELA TUNAY VÁSQUEZ DE YAXÓN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0007-41,07-005,SOLOLA,SOLOLA,COPB ANEXO A EORM,"CASERIO LA ILUSION, CANTON CHUIQUEL",32971776,JUSTO SANTIAGO PONCIO PÚ,CARMEN AJCALÓN AJQUICHÍ,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0009-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO SACBOCHOL ALDEA LOS ENCUENTROS,45557672,CARLOS RIGOBERTO POS TUY,ROSITA CUC CHOPÉN,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
07-01-0010-41,07-002,SOLOLA,SOLOLA,COPB ANEXO A EORM,CASERIO SAN JUAN ALDEA PIXABAJ,41934361,CARLOS RIGOBERTO POS TUY,ESTEBAN MENDOZA CHOLOTIO,PREPRIMARIA BILINGUE,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),SOLOLÁ
